parent,name,size,type
Education,Immersion_in_Python,282673,Dir
Immersion_in_Python,.git,158305,Dir
.git,COMMIT_EDITMSG,12,File
.git,config,311,File
.git,description,73,File
.git,FETCH_HEAD,108,File
.git,HEAD,21,File
.git,hooks,23513,Dir
hooks,applypatch-msg.sample,478,File
hooks,commit-msg.sample,896,File
hooks,fsmonitor-watchman.sample,4726,File
hooks,post-update.sample,189,File
hooks,pre-applypatch.sample,424,File
hooks,pre-commit.sample,1643,File
hooks,pre-merge-commit.sample,416,File
hooks,pre-push.sample,1374,File
hooks,pre-rebase.sample,4898,File
hooks,pre-receive.sample,544,File
hooks,prepare-commit-msg.sample,1492,File
hooks,push-to-checkout.sample,2783,File
hooks,update.sample,3650,File
.git,index,6638,File
.git,info,240,Dir
info,exclude,240,File
.git,logs,10654,Dir
logs,HEAD,4018,File
logs,refs,6636,Dir
refs,heads,3814,Dir
heads,main,3814,File
refs,remotes,2822,Dir
remotes,origin,2822,Dir
origin,main,2822,File
.git,objects,116653,Dir
objects,02,2184,Dir
02,93fb444d100bfb1985fb4dda10c6ceaa2b2e72,2184,File
objects,05,590,Dir
05,30ac2ea31eed783f68122cfa59d807ed92a5b7,590,File
objects,08,65,Dir
08,f41291ad8abb2d2dff7c3ed94d479a9aa27b1d,65,File
objects,09,1145,Dir
09,5f59d8686f2a48a9b4967ba393ae2d86e80d53,1145,File
objects,0b,178,Dir
0b,e76787f22a9f63e2d0ba43ee293b3c18db90d2,178,File
objects,0c,499,Dir
0c,bed2a5634718e325f841409ee9582c76b597cd,499,File
objects,0e,2161,Dir
0e,13dd09a8b73ce13e6db9a2095b7a82f879f503,2161,File
objects,12,140,Dir
12,1c8fa5ab4b0b7fb16050f1d54206f24776ca53,140,File
objects,16,543,Dir
16,c78afa7956295ef45b98db90ba2edc3bec07cd,543,File
objects,17,1389,Dir
17,0357d941fe882ea2cf0ba2ab36c54b084c9390,211,File
17,24077bfd2ff6b028b50ae25a60743b0d34ad92,177,File
17,94c42944fc8abd89c142c455afdb108317f03a,1001,File
objects,19,868,Dir
19,fb9d3a3114ede8168dfa69cd9cf0e85bba25ad,868,File
objects,1a,1475,Dir
1a,339a5db51d920015aafe4e520819c33ffffa2c,572,File
1a,4615665dcc9abfb3458e71c2affa722ace82f4,903,File
objects,1b,2920,Dir
1b,e1fbf0fa26f3b075fc73e9d031b3cebb9bce9d,2920,File
objects,1d,1047,Dir
1d,c04e3e7d2c546d9d0acf72350467374d976c42,1047,File
objects,20,54,Dir
20,f700306b9ee4c9fbe43bca8b3a4468acb89a98,54,File
objects,22,210,Dir
22,d2bfc3e2eee53982091f4e6f0e0f380ebac473,210,File
objects,23,279,Dir
